AVGYLD,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI_AVG
1060.0999756,1080.06,0.0879,0.002694,-0.001178,0.001515,14.3999996,38.7000008,96,84,123,82,0.01889
1129.1999512,1080.08,0.0575,0.001403,-0.00047300000000000006,0.00093,14.300000199999998,40.9000015,94,91,126,85,0.04502
1140.3000488,1080.1,0.0906,-0.0046240000000000005,0.004098,-0.0005269999999999999,13.8999996,36.9000015,92,92,127,83,0.05123
1110.5999755999999,1080.13,0.1291,-0.001335,0.001011,-0.000324,14.1000004,37.0999985,96,89,127,84,0.05315
1070.8000488,1080.18,0.1515,0.002538,-0.0012289999999999998,0.001309,14.800000199999998,36.0999985,96,89,130,85,0.04265
1063.9000244,1080.23,0.1427,-0.001117,0.00086,-0.00025699999999999996,16.0,38.2999992,94,90,130,85,0.0314
1031.0999756,1080.28,0.1591,-0.002258,0.002139,-0.00011899999999999999,16.399999599999997,39.2999992,94,94,129,85,0.02924
1193.0999755999999,1079.95,0.0618,-0.0031609999999999997,0.00015,-0.003011,22.6000004,61.0,90,82,103,74,0.06577999999999999
1128.9000244000001,1079.99,0.1351,-0.008512,0.005821,-0.002691,17.3999996,50.5999985,90,81,111,78,0.06154
1128.1999512,1080.08,0.1649,0.001567,-0.001382,0.000184,14.6000004,47.2000008,96,84,113,79,0.04741
1211.4000244000001,1080.12,0.094,0.00428,-0.001075,0.0032049999999999995,15.800000199999998,41.7000008,94,89,116,81,0.05142000000000001
1193.0,1080.14,0.0912,0.004945000000000001,-0.0029690000000000003,0.001977,15.199999800000002,38.0,96,87,119,82,0.05683
1167.3000488,1080.17,0.09699999999999999,0.0006320000000000001,0.00028700000000000004,0.000919,15.1000004,37.2999992,94,87,120,81,0.052520000000000004
1159.3000488,1080.23,0.145,0.003992,0.001317,0.005309,14.699999800000002,31.0,96,87,124,83,0.04144
1111.5999755999999,1080.29,0.1633,0.003529,0.000849,0.004378,14.3999996,38.2999992,98,88,128,85,0.034260000000000006
1039.1999512,1080.35,0.1741,0.004101,-0.002379,0.001721,13.800000199999998,43.2999992,94,93,126,87,0.02076
1061.9000244,1080.39,0.1309,0.004983,-0.002425,0.002558,13.199999800000002,38.2999992,94,94,127,87,0.02812
1062.3000488,1080.4,0.1374,-0.002629,-0.000719,-0.0033490000000000004,12.8000002,37.2000008,92,92,136,91,0.028710000000000003
1115.9000244000001,1080.47,0.2421,-0.0051140000000000005,0.004176,-0.000938,11.8999996,34.7000008,86,95,134,91,0.01711
1143.5999755999999,1079.93,0.1456,0.0026309999999999997,-0.003935,-0.0013039999999999998,22.3999996,54.5999985,92,85,105,76,0.03071
1180.0,1079.96,0.0758,-0.003038,0.002461,-0.0005769999999999999,24.6000004,61.5999985,92,82,103,74,0.05674
1214.8000488,1079.97,0.0878,-0.005263,0.0038659999999999996,-0.001397,22.6000004,50.4000015,92,85,108,74,0.06597
1227.8000488,1080.01,0.1702,-0.015613,0.007941,-0.007672,19.3999996,44.0,94,82,106,74,0.0592
1080.6999512,1080.11,0.1829,0.009218,-0.00792,0.0012980000000000001,17.2000008,36.5,92,86,106,76,0.04007
1111.0999755999999,1080.15,0.0581,0.000272,0.0015810000000000002,0.001854,19.0,37.7000008,90,84,107,75,0.04556
1137.5999755999999,1080.16,0.0699,-0.00861,0.00562,-0.002991,19.6000004,35.7999992,92,85,110,77,0.05552000000000001
1168.8000488,1080.19,0.0916,-0.011649,0.006901000000000001,-0.0047469999999999995,18.7000008,34.7000008,94,86,115,80,0.05296
1054.3000488,1080.25,0.1588,-0.008688,0.003831,-0.004857,19.3999996,35.2999992,94,84,122,82,0.03659
1017.5,1080.33,0.165,0.002657,-0.001599,0.001058,17.2999992,33.9000015,96,85,123,82,0.02765
1015.9000243999999,1080.4,0.111,0.010541,-0.004673,0.005868,16.5,34.0,94,87,122,85,0.01945
1062.8000488,1080.43,0.0624,0.004441,-0.002809,0.001633,15.3999996,30.899999600000005,92,92,124,84,0.02302
1062.1999512,1080.45,0.0889,-0.003815,0.002993,-0.000822,14.0,32.4000015,92,94,129,86,0.0257
1017.9000243999999,1080.52,0.2086,-0.003706,0.0035090000000000004,-0.000196,11.8000002,32.799999199999995,92,89,131,89,0.01839
1059.9000244,1080.62,0.14300000000000002,0.009233,-0.008218000000000001,0.001015,11.1999998,28.600000399999995,90,89,134,87,0.01779
1095.9000244000001,1079.99,0.0962,0.0071530000000000005,-0.004677000000000001,0.002475,22.0,54.29999920000001,96,85,114,76,0.032139999999999995
1110.0999755999999,1080.01,0.1153,-0.0017289999999999999,0.0014730000000000001,-0.00025499999999999996,21.7000008,42.7000008,94,85,111,76,0.05152
1184.5,1080.03,0.1323,-0.002725,0.0010429999999999999,-0.0016809999999999998,22.5,38.9000015,94,84,111,74,0.0629
1208.4000244000001,1080.07,0.1908,-0.007868,0.0040869999999999995,-0.003781,20.7000008,38.4000015,94,82,107,75,0.06393
1146.1999512,1080.14,0.1583,0.0042369999999999994,-0.007815,-0.003578,19.6000004,38.5,90,85,107,76,0.05143
1174.5999755999999,1080.19,0.0862,0.007999,-0.005299,0.0027,20.0,40.4000015,90,86,112,76,0.05192000000000001
1138.4000244000001,1080.2,0.0841,0.012371,-0.009398,0.002972,21.2000008,40.0999985,90,85,111,76,0.057870000000000005
1145.9000244000001,1080.23,0.1065,0.008273,-0.002672,0.005601,20.8999996,38.9000015,94,88,116,81,0.04365
1064.0,1080.28,0.14800000000000002,0.006866,-0.000471,0.006396,19.7999992,36.4000015,94,85,121,81,0.03186
1041.1999512,1080.36,0.1533,0.005698,-0.001498,0.004201,18.3999996,35.5999985,90,85,121,82,0.01822
1006.2999877999998,1080.42,0.0889,0.00436,-0.0045509999999999995,-0.000192,17.7999992,34.7999992,90,84,123,83,0.021769999999999998
1075.3000488,1080.45,0.0681,-0.002718,0.0017239999999999998,-0.0009939999999999999,15.8999996,30.2000008,88,86,120,84,0.02648
1103.0,1080.48,0.1188,-0.007084,0.006619,-0.000465,15.3999996,28.899999600000005,92,87,124,84,0.02178
1039.0999756,1080.56,0.2456,-0.010288,0.005975,-0.004312,13.800000199999998,28.100000399999995,96,92,132,88,0.0069099999999999995
1027.1999512,1080.66,0.1641,0.008801,-0.003472,0.0053289999999999995,12.5,30.7999992,94,92,139,87,0.007259999999999999
979.2999877999998,1080.68,0.1087,-0.002337,0.00294,0.000604,13.3999996,30.2999992,90,88,135,89,0.00485
1107.3000488,1080.02,0.1013,-0.007349,0.002136,-0.005213000000000001,23.7000008,39.2999992,96,85,107,76,0.027610000000000003
1112.4000244000001,1080.06,0.1186,-0.003597,0.004722,0.001125,22.3999996,39.9000015,96,85,115,76,0.041710000000000004
1231.6999512,1080.1,0.1859,-0.0007469999999999999,0.000297,-0.00045099999999999996,21.5,41.5999985,92,82,114,76,0.05624
1248.8000488,1080.15,0.1308,0.018392,-0.014144,0.004249,21.8999996,41.5999985,92,83,111,76,0.06572
1173.3000488,1080.17,0.0693,0.010526,-0.007349,0.003176,21.7000008,42.2000008,90,85,108,76,0.0557
1156.0999755999999,1080.18,0.0833,0.000136,3.2e-05,0.000168,22.1000004,39.7000008,88,88,111,76,0.05736
1193.9000244000001,1080.18,0.0869,-0.0071,0.002694,-0.004406,22.1000004,38.5,88,83,112,76,0.0525
1146.3000488,1080.22,0.1077,-0.010177,0.001718,-0.008459,19.0,35.4000015,90,84,115,79,0.04178
1103.6999512,1080.28,0.1313,-0.007271,0.0023870000000000002,-0.004884,18.2999992,32.799999199999995,88,85,111,80,0.03507
1092.4000244000001,1080.35,0.1614,-0.002534,0.001042,-0.001492,18.7999992,32.9000015,88,85,119,82,0.02362
1091.0999755999999,1080.43,0.1236,0.00464,-0.0035770000000000003,0.0010630000000000001,19.2999992,33.7000008,92,87,123,82,0.024480000000000002
1167.0,1080.48,0.1175,0.0017170000000000002,0.003127,0.004843999999999999,16.2999992,31.399999600000005,92,84,121,84,0.021159999999999998
1046.9000244,1080.54,0.1838,-0.0008880000000000001,0.003221,0.002334,15.300000199999998,29.2000008,90,90,125,85,0.01139
1007.4000243999999,1080.63,0.2638,0.001376,-0.000278,0.001098,14.0,28.100000399999995,94,93,131,88,0.00139
1023.4000243999999,1080.73,0.1602,0.019244999999999998,-0.008423,0.010822,14.0,25.7000008,94,93,140,88,-0.0011099999999999999
1025.0999756,1080.73,0.0987,0.0023710000000000003,-0.000956,0.001415,14.699999800000002,30.2999992,92,92,135,88,-0.00561
875.2999877999998,1080.71,0.1015,0.014823,-0.0037689999999999998,0.011054000000000001,13.1000004,29.600000399999995,96,93,139,91,-0.01986
1067.5,1080.07,0.1851,-0.0039369999999999995,0.004221,0.00028399999999999996,23.7000008,40.5999985,92,85,111,76,0.030889999999999997
1168.0999755999999,1080.12,0.1539,0.010562,-0.008498,0.002064,22.5,40.4000015,90,89,111,78,0.0352
1196.6999512,1080.14,0.0716,0.011498999999999999,-0.008518000000000001,0.0029809999999999997,23.2999992,43.5999985,94,85,107,76,0.0572
1220.5999755999999,1080.14,0.0902,-0.0022530000000000002,-0.0012720000000000001,-0.003525,24.0,41.2999992,92,85,111,74,0.059620000000000006
